Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,38:04,13,19,.684,1,4,.250,5,6,.833,3,6,9,7,1,0,1,3,32,+5
OG Anunoby,37:39,12,14,.857,4,6,.667,3,3,1.000,0,2,2,1,5,0,5,1,31,+7
Pascal Siakam,37:05,5,13,.385,2,5,.400,0,0,,0,4,4,2,0,1,1,3,12,+9
Fred VanVleet,36:29,3,9,.333,2,6,.333,0,0,,0,4,4,10,3,0,4,3,8,+5
Jakob Poeltl,33:03,8,17,.471,0,0,,1,2,.500,4,6,10,4,3,1,0,2,17,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,21:01,0,9,.000,0,3,.000,0,0,,1,1,2,2,1,0,0,0,0,-27
Will Barton,13:45,2,3,.667,1,2,.500,0,0,,0,1,1,3,1,0,0,1,5,-18
Chris Boucher,10:35,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,1,0,2,-17
Precious Achiuwa,8:18,2,5,.400,0,1,.000,1,2,.500,1,1,2,0,0,0,1,2,5,-10
Thaddeus Young,4:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-9
Malachi Flynn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,92,.500,10,28,.357,10,13,.769,10,27,37,29,14,3,13,16,112,
